성별,연령,키,몸무게학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
2.0,14.0,168.0,44.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,120.0,240.0
2.0,14.0,158.0,39.0,4.0,1.0,4.0,3.0,4.0,1.0,1.0,120.0,120.0
1.0,13.0,177.0,68.0,3.0,2.0,1.0,8.0,2.0,1.0,1.0,120.0,180.0
2.0,13.0,160.6,44.9,1.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,60.0
2.0,14.0,159.5,44.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,30.0,120.0
2.0,14.0,153.0,40.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,60.0,120.0
1.0,14.0,163.7,70.1,4.0,2.0,2.0,5.0,2.0,2.0,1.0,280.0,140.0
1.0,13.0,168.0,75.0,2.0,3.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0
1.0,14.0,175.8,66.7,1.0,1.0,1.0,3.0,3.0,1.0,1.0,60.0,90.0
1.0,14.0,171.1,49.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,30.0,30.0
1.0,13.0,164.0,45.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,60.0,90.0
1.0,13.0,167.0,60.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,120.0,300.0
2.0,13.0,153.0,46.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0
2.0,13.0,170.1,58.9,2.0,2.0,1.0,2.0,4.0,1.0,1.0,90.0,130.0
1.0,14.0,176.0,80.0,4.0,3.0,2.0,7.0,3.0,1.0,1.0,220.0,240.0
2.0,14.0,161.0,47.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,60.0,60.0
2.0,13.0,155.0,48.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0,60.0,60.0
1.0,13.0,171.0,76.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,210.0,320.0
1.0,13.0,173.0,69.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,120.0,60.0
1.0,14.0,168.0,70.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,10.0,30.0
1.0,13.0,172.7,51.9,1.0,3.0,2.0,4.0,1.0,1.0,1.0,150.0,180.0
1.0,14.0,163.5,46.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,100.0,180.0
1.0,13.0,170.0,50.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,90.0
2.0,14.0,150.3,47.4,2.0,3.0,3.0,2.0,4.0,1.0,1.0,0.0,60.0
2.0,15.0,161.2,47.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
2.0,15.0,162.3,45.3,2.0,2.0,1.0,3.0,3.0,1.0,1.0,150.0,70.0
2.0,15.0,168.0,43.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,600.0,600.0
2.0,16.0,158.1,48.0,4.0,1.0,1.0,3.0,5.0,2.0,2.0,180.0,300.0
2.0,15.0,160.0,54.0,5.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0
2.0,14.0,160.0,64.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,120.0,180.0
1.0,15.0,177.5,74.0,4.0,1.0,2.0,6.0,3.0,1.0,1.0,60.0,180.0
2.0,14.0,158.5,45.5,2.0,1.0,3.0,5.0,3.0,1.0,1.0,60.0,120.0
1.0,14.0,177.6,72.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,30.0,0.0
2.0,15.0,158.0,57.0,4.0,1.0,2.0,8.0,3.0,1.0,1.0,150.0,150.0
2.0,14.0,169.0,55.0,4.0,2.0,4.0,8.0,4.0,2.0,1.0,0.0,0.0
2.0,14.0,165.0,65.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,60.0,220.0
2.0,14.0,153.0,48.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,420.0,480.0
1.0,15.0,172.0,57.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,30.0,30.0
1.0,15.0,170.0,80.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,60.0,120.0
1.0,14.0,175.0,63.0,5.0,1.0,3.0,3.0,5.0,2.0,1.0,120.0,240.0
1.0,15.0,174.8,77.4,2.0,2.0,2.0,8.0,4.0,2.0,1.0,60.0,120.0
1.0,14.0,174.0,52.0,4.0,3.0,2.0,3.0,5.0,1.0,1.0,600.0,420.0
1.0,15.0,175.0,63.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0
1.0,14.0,178.0,67.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,60.0,90.0
1.0,15.0,163.0,65.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,180.0,300.0
1.0,14.0,170.0,64.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,60.0,60.0
1.0,14.0,172.5,55.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,180.0,360.0
1.0,15.0,166.0,52.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,120.0,60.0
2.0,15.0,154.0,50.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,40.0,60.0
